emotion,verse,reference
joy,"Rejoice in the Lord always; again I will say, rejoice!","Philippians 4:4"
joy,"You make known to me the path of life; in your presence there is fullness of joy.","Psalm 16:11"
joy,"This is the day that the Lord has made; let us rejoice and be glad in it.","Psalm 118:24"
fear,"Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me.","Psalm 23:4"
fear,"For God gave us a spirit not of fear but of power and love and self-control.","2 Timothy 1:7"
fear,"When I am afraid, I put my trust in you.","Psalm 56:3"
sadness,"The Lord is near to the brokenhearted and saves the crushed in spirit.","Psalm 34:18"
sadness,"He will wipe away every tear from their eyes, and death shall be no more.","Revelation 21:4"
sadness,"Cast your burden on the Lord, and he will sustain you.","Psalm 55:22"
peace,"And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.","Philippians 4:7"
peace,"You will keep in perfect peace those whose minds are steadfast, because they trust in you.","Isaiah 26:3"
peace,"Blessed are the peacemakers, for they shall be called sons of God.","Matthew 5:9"
hope,"For I know the plans I have for you, declares the Lord, plans for welfare and not for evil, to give you a future and a hope.","Jeremiah 29:11"
hope,"But those who hope in the Lord will renew their strength; they will soar on wings like eagles.","Isaiah 40:31"
hope,"May the God of hope fill you with all joy and peace as you trust in him.","Romans 15:13"
